iter	Passed	Remaining
0	0	81
1	1	74
2	2	73
3	2	69
4	3	74
5	4	72
6	5	70
7	6	70
8	6	69
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	12	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	60	13
82	61	12
83	61	11
84	62	10
85	62	10
86	63	9
87	63	8
88	66	8
89	66	7
90	67	6
91	67	5
92	68	5
93	68	4
94	69	3
95	69	2
96	70	2
97	70	1
98	71	0
99	71	0
