iter	Passed	Remaining
0	53	53851
1	55	27872
2	57	19241
3	59	14886
4	61	12300
5	63	10553
6	69	9836
7	71	8828
8	73	8045
9	74	7383
10	75	6825
11	77	6352
12	78	5947
13	79	5581
14	80	5259
15	81	5009
16	82	4760
17	83	4535
18	83	4331
19	84	4143
20	85	3974
21	85	3819
22	86	3677
23	87	3550
24	87	3428
25	88	3313
26	88	3206
27	89	3107
28	90	3030
29	91	2945
30	91	2864
31	92	2790
32	92	2715
33	93	2645
34	93	2580
35	94	2517
36	94	2458
37	94	2404
38	95	2350
39	95	2300
40	96	2252
41	96	2205
42	97	2161
43	97	2119
44	97	2078
45	98	2039
46	98	2002
47	99	1967
48	99	1933
49	100	1900
50	100	1868
51	100	1837
52	101	1808
53	101	1780
54	102	1753
55	102	1726
56	102	1701
57	103	1676
58	103	1653
59	104	1630
60	104	1608
61	104	1586
62	105	1565
63	105	1545
64	106	1526
65	106	1508
66	107	1490
67	107	1472
68	107	1455
69	108	1437
70	108	1421
71	109	1405
72	109	1390
73	109	1375
74	110	1360
75	110	1346
76	111	1331
77	111	1317
78	111	1303
79	112	1290
80	112	1277
81	112	1265
82	113	1250
83	113	1238
84	113	1226
85	114	1216
86	114	1205
87	115	1194
88	115	1183
89	116	1173
90	116	1163
91	116	1153
92	117	1142
93	117	1133
94	117	1124
95	118	1115
96	118	1105
97	119	1097
98	119	1088
99	120	1082
100	120	1073
101	121	1065
102	121	1057
103	121	1049
104	122	1043
105	122	1036
106	123	1028
107	123	1023
108	124	1016
109	124	1009
110	125	1002
111	125	995
112	125	988
113	126	981
114	126	975
115	127	968
116	127	961
117	127	955
118	128	949
119	128	943
120	128	937
121	129	930
122	129	924
123	130	919
124	130	913
125	130	907
126	131	901
127	131	896
128	132	891
129	132	886
130	132	880
131	133	875
132	133	870
133	133	865
134	134	860
135	134	856
136	135	851
137	135	847
138	135	842
139	136	837
140	136	834
141	137	829
142	137	825
143	138	820
144	138	816
145	138	812
146	139	808
147	139	803
148	140	799
149	140	795
150	140	791
151	141	787
152	141	784
153	141	780
154	142	775
155	142	772
156	143	768
157	143	765
158	143	761
159	144	757
160	144	753
161	144	749
162	145	746
163	145	742
164	146	739
165	146	735
166	146	732
167	147	729
168	147	725
169	147	722
170	148	719
171	148	716
172	149	713
173	149	710
174	150	707
175	150	704
176	150	701
177	151	698
178	151	695
179	152	693
180	152	690
181	153	687
182	153	685
183	153	682
184	154	679
185	154	676
186	155	676
187	156	674
188	156	671
189	156	668
190	157	666
191	157	664
192	158	661
193	158	658
194	158	656
195	159	653
196	159	650
197	160	648
198	160	645
199	160	643
200	161	640
201	161	638
202	161	635
203	162	633
204	162	631
205	163	628
206	163	626
207	163	624
208	164	621
209	164	619
210	165	617
211	165	616
212	166	615
213	167	616
214	168	614
215	168	612
216	169	610
217	169	608
218	169	605
219	170	603
220	170	601
221	171	600
222	171	598
223	172	595
224	172	593
225	172	591
226	173	589
227	173	587
228	173	585
229	174	583
230	174	581
231	175	579
232	175	577
233	175	575
234	176	574
235	176	572
236	177	570
237	177	568
238	177	566
239	178	564
240	178	562
241	179	560
242	179	559
243	179	557
244	180	555
245	180	553
246	180	551
247	181	549
248	181	548
249	182	546
250	182	545
251	183	543
252	183	542
253	184	540
254	184	538
255	184	537
256	185	535
257	185	534
258	186	532
259	186	530
260	186	529
261	187	527
262	187	525
263	188	524
264	188	522
265	188	521
266	189	519
267	189	517
268	190	516
269	190	514
270	190	513
271	191	511
272	191	510
273	191	508
274	192	506
275	192	505
276	193	503
277	193	502
278	193	501
279	194	499
280	194	498
281	195	496
282	195	495
283	195	493
284	196	492
285	196	491
286	197	490
287	197	488
288	198	487
289	198	485
290	198	484
291	199	483
292	199	482
293	200	480
294	200	479
295	201	478
296	201	476
297	201	475
298	202	473
299	202	472
300	202	471
301	203	469
302	204	469
303	204	468
304	204	466
305	205	465
306	205	464
307	206	463
308	206	461
309	206	460
310	207	459
311	207	458
312	208	456
313	208	455
314	208	454
315	209	453
316	209	451
317	210	450
318	210	449
319	210	448
320	211	447
321	211	445
322	212	444
323	212	443
324	212	442
325	213	441
326	213	440
327	214	439
328	214	437
329	215	436
330	215	435
331	215	434
332	216	433
333	216	432
334	217	430
335	217	429
336	217	428
337	218	427
338	218	426
339	219	425
340	219	424
341	219	422
342	220	421
343	220	420
344	220	419
345	221	418
346	221	417
347	222	416
348	222	414
349	222	413
350	223	412
351	223	411
352	223	410
353	224	409
354	224	408
355	225	407
356	225	406
357	226	406
358	227	405
359	227	404
360	227	403
361	228	402
362	228	401
363	229	400
364	229	399
365	229	398
366	230	397
367	230	396
368	231	395
369	231	394
370	232	393
371	232	392
372	232	391
373	233	390
374	233	389
375	234	388
376	234	387
377	234	386
378	235	385
379	235	384
380	236	383
381	236	382
382	236	381
383	237	380
384	237	379
385	238	378
386	238	377
387	238	376
388	239	375
389	239	374
390	240	374
391	240	373
392	240	372
393	241	371
394	241	370
395	242	369
396	242	368
397	242	367
398	243	366
399	243	365
400	244	364
401	244	363
402	245	363
403	245	362
404	245	361
405	246	360
406	246	359
407	247	358
408	247	357
409	247	356
410	248	355
411	248	354
412	248	353
413	249	352
414	249	351
415	250	351
416	250	350
417	250	349
418	251	348
419	251	347
420	252	346
421	252	345
422	252	344
423	253	343
424	253	343
425	253	342
426	254	341
427	254	340
428	255	339
429	255	338
430	255	337
431	256	337
432	256	336
433	257	335
434	257	334
435	258	333
436	258	333
437	258	332
438	259	331
439	259	330
440	260	329
441	260	328
442	261	328
443	261	327
444	261	326
445	262	325
446	262	324
447	262	324
448	263	323
449	263	322
450	264	321
451	264	320
452	264	319
453	265	319
454	265	318
455	266	317
456	266	316
457	266	315
458	267	315
459	267	314
460	268	313
461	268	312
462	269	312
463	269	311
464	269	310
465	270	309
466	270	308
467	271	308
468	271	307
469	272	306
470	272	305
471	272	305
472	273	304
473	273	303
474	274	302
475	274	302
476	274	301
477	275	300
478	275	299
479	276	299
480	276	298
481	276	297
482	277	296
483	277	296
484	278	295
485	278	294
486	278	293
487	279	293
488	279	292
489	280	291
490	280	290
491	280	290
492	281	289
493	281	288
494	281	287
495	282	286
496	282	286
497	283	285
498	283	284
499	283	283
500	284	283
501	284	282
502	285	281
503	285	280
504	285	280
505	286	279
506	286	278
507	287	278
508	287	277
509	288	276
510	288	276
511	289	275
512	289	274
513	289	274
514	290	273
515	290	272
516	291	272
517	291	271
518	291	270
519	292	269
520	292	269
521	293	268
522	293	267
523	293	266
524	294	266
525	294	265
526	295	264
527	295	264
528	295	263
529	296	262
530	296	261
531	296	261
532	297	260
533	297	259
534	298	259
535	298	258
536	298	257
537	299	257
538	299	256
539	300	255
540	301	255
541	302	255
542	302	254
543	302	253
544	303	253
545	303	252
546	304	251
547	304	251
548	304	250
549	305	249
550	305	249
551	306	248
552	306	247
553	306	246
554	307	246
555	307	245
556	307	244
557	308	244
558	308	243
559	309	242
560	309	242
561	309	241
562	310	240
563	310	240
564	311	239
565	311	238
566	311	238
567	312	237
568	312	236
569	312	236
570	313	235
571	313	234
572	314	234
573	314	233
574	315	232
575	315	232
576	315	231
577	316	230
578	316	230
579	317	229
580	317	229
581	318	228
582	318	227
583	318	227
584	319	226
585	319	225
586	320	225
587	320	224
588	320	223
589	321	223
590	321	222
591	321	221
592	322	221
593	322	220
594	323	219
595	323	219
596	323	218
597	324	218
598	324	217
599	325	216
600	325	216
601	325	215
602	326	214
603	326	214
604	327	213
605	327	212
606	327	212
607	328	211
608	328	210
609	328	210
610	329	209
611	329	209
612	330	208
613	330	207
614	331	207
615	331	206
616	331	205
617	332	205
618	332	204
619	333	204
620	333	203
621	333	202
622	334	202
623	334	201
624	335	201
625	335	200
626	336	199
627	336	199
628	336	198
629	337	198
630	337	197
631	338	196
632	338	196
633	338	195
634	339	195
635	339	194
636	340	193
637	340	193
638	340	192
639	341	191
640	341	191
641	341	190
642	342	190
643	342	189
644	343	188
645	343	188
646	343	187
647	344	187
648	344	186
649	345	185
650	345	185
651	346	185
652	347	184
653	347	183
654	348	183
655	348	182
656	348	182
657	349	181
658	349	180
659	350	180
660	350	179
661	350	179
662	351	178
663	351	177
664	352	177
665	352	176
666	352	176
667	353	175
668	353	175
669	354	174
670	354	173
671	354	173
672	355	172
673	355	172
674	356	171
675	356	170
676	356	170
677	357	169
678	357	169
679	358	168
680	358	167
681	358	167
682	359	166
683	359	166
684	360	165
685	360	165
686	360	164
687	361	163
688	361	163
689	362	162
690	362	162
691	362	161
692	363	160
693	363	160
694	364	159
695	364	159
696	365	158
697	365	158
698	365	157
699	366	156
700	366	156
701	367	155
702	367	155
703	367	154
704	368	154
705	368	153
706	368	152
707	369	152
708	369	151
709	370	151
710	370	150
711	370	150
712	371	149
713	371	148
714	372	148
715	372	147
716	372	147
717	373	146
718	373	146
719	374	145
720	374	144
721	374	144
722	375	143
723	375	143
724	376	142
725	376	142
726	377	141
727	377	141
728	378	140
729	379	140
730	379	139
731	380	139
732	380	138
733	380	138
734	381	137
735	381	136
736	382	136
737	382	135
738	382	135
739	383	134
740	383	134
741	384	133
742	384	132
743	384	132
744	385	131
745	385	131
746	385	130
747	386	130
748	386	129
749	387	129
750	387	128
751	387	127
752	388	127
753	388	126
754	389	126
755	389	125
756	389	125
757	390	124
758	391	124
759	391	123
760	392	123
761	392	122
762	392	122
763	393	121
764	393	120
765	394	120
766	394	119
767	394	119
768	395	118
769	395	118
770	396	117
771	396	117
772	397	116
773	397	116
774	397	115
775	398	114
776	398	114
777	399	113
778	399	113
779	399	112
780	400	112
781	400	111
782	400	111
783	401	110
784	401	110
785	402	109
786	402	108
787	402	108
788	403	107
789	403	107
790	404	106
791	404	106
792	404	105
793	405	105
794	405	104
795	406	104
796	406	103
797	406	102
798	407	102
799	407	101
800	408	101
801	408	100
802	408	100
803	409	99
804	409	99
805	410	98
806	410	98
807	411	97
808	411	97
809	411	96
810	412	96
811	412	95
812	413	95
813	413	94
814	413	93
815	414	93
816	414	92
817	414	92
818	415	91
819	415	91
820	416	90
821	416	90
822	416	89
823	417	89
824	417	88
825	418	88
826	418	87
827	418	87
828	419	86
829	419	85
830	420	85
831	420	84
832	420	84
833	421	83
834	421	83
835	422	82
836	422	82
837	423	81
838	424	81
839	424	80
840	425	80
841	425	79
842	426	79
843	426	78
844	426	78
845	427	77
846	427	77
847	427	76
848	428	76
849	428	75
850	429	75
851	429	74
852	430	74
853	430	73
854	430	73
855	431	72
856	431	72
857	432	71
858	432	70
859	432	70
860	433	69
861	433	69
862	434	68
863	434	68
864	434	67
865	435	67
866	435	66
867	435	66
868	436	65
869	437	65
870	437	64
871	438	64
872	439	63
873	439	63
874	439	62
875	440	62
876	440	61
877	441	61
878	441	60
879	441	60
880	442	59
881	442	59
882	443	58
883	443	58
884	443	57
885	444	57
886	444	56
887	445	56
888	445	55
889	445	55
890	446	54
891	446	54
892	447	53
893	447	53
894	447	52
895	448	52
896	448	51
897	448	50
898	449	50
899	449	49
900	450	49
901	450	48
902	451	48
903	451	47
904	451	47
905	452	46
906	452	46
907	453	45
908	453	45
909	454	44
910	454	44
911	455	43
912	455	43
913	455	42
914	456	42
915	456	41
916	457	41
917	457	40
918	458	40
919	458	39
920	458	39
921	459	38
922	459	38
923	460	37
924	460	37
925	460	36
926	461	36
927	461	35
928	461	35
929	462	34
930	462	34
931	463	33
932	463	33
933	463	32
934	464	32
935	464	31
936	465	31
937	465	30
938	465	30
939	466	29
940	467	29
941	467	28
942	467	28
943	468	27
944	468	27
945	469	26
946	469	26
947	470	25
948	470	25
949	471	24
950	471	24
951	471	23
952	472	23
953	472	22
954	473	22
955	473	21
956	473	21
957	474	20
958	474	20
959	475	19
960	475	19
961	475	18
962	476	18
963	476	17
964	476	17
965	477	16
966	477	16
967	478	15
968	478	15
969	478	14
970	479	14
971	479	13
972	480	13
973	480	12
974	481	12
975	481	11
976	481	11
977	482	10
978	482	10
979	483	9
980	483	9
981	484	8
982	484	8
983	485	7
984	485	7
985	485	6
986	486	6
987	486	5
988	487	5
989	487	4
990	487	4
991	488	3
992	488	3
993	489	2
994	489	2
995	489	1
996	490	1
997	490	0
998	491	0
999	491	0
